"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Aberdeen, SD","10100",2023,365,289,68,7,1,0,0,166,60,29,0,0,0,292,73
"Aberdeen, WA","10140",2023,365,339,26,0,0,0,0,80,43,23,0,0,0,365,0
"Ada, OK","10220",2023,358,252,106,0,0,0,0,93,64,42,0,0,258,94,6
"Adrian, MI","10300",2023,364,188,166,8,2,0,0,165,70,50,0,0,143,221,0
"Akron, OH","10420",2023,348,208,131,6,2,1,0,230,75,47,0,0,157,191,0
"Albany, GA","10500",2023,364,177,182,5,0,0,0,140,71,51,0,0,0,364,0
"Albany, OR","10540",2023,365,278,83,4,0,0,0,125,62,34,0,0,0,365,0
"Albany-Schenectady-Troy, NY","10580",2023,365,244,114,4,3,0,0,186,62,42,0,0,134,231,0
"Albuquerque, NM","10740",2023,365,97,264,3,0,1,0,207,84,60,0,1,194,87,83
"Alexandria, LA","10780",2023,119,74,45,0,0,0,0,80,64,43,0,0,0,119,0
"Allentown-Bethlehem-Easton, PA-NJ","10900",2023,365,194,164,2,4,0,1,368,70,48,0,6,129,230,0
"Altoona, PA","11020",2023,358,229,123,1,4,1,0,213,67,43,0,0,120,238,0
"Amarillo, TX","11100",2023,365,248,114,3,0,0,0,125,74,45,0,0,314,51,0
"Americus, GA","11140",2023,245,225,20,0,0,0,0,87,49,38,0,0,245,0,0
"Anchorage, AK","11260",2023,365,296,68,1,0,0,0,102,58,25,3,0,0,256,106
"Ann Arbor, MI","11460",2023,365,168,184,9,2,2,0,218,76,52,0,0,121,244,0
"Appleton, WI","11540",2023,360,195,152,8,5,0,0,186,78,48,0,0,85,275,0
"Ardmore, OK","11620",2023,344,189,138,17,0,0,0,136,87,48,0,0,210,134,0
"Arkadelphia, AR","11660",2023,351,321,30,0,0,0,0,87,49,35,0,0,351,0,0
"Asheville, NC","11700",2023,365,228,132,5,0,0,0,112,68,46,0,0,181,184,0
"Ashtabula, OH","11780",2023,245,208,35,2,0,0,0,147,64,42,0,0,245,0,0
"Athens, OH","11900",2023,244,208,35,0,1,0,0,157,54,31,0,0,0,244,0
"Athens, TN","11940",2023,355,238,115,2,0,0,0,114,61,39,0,0,0,355,0
"Athens-Clarke County, GA","12020",2023,365,173,189,3,0,0,0,147,71,52,0,0,98,267,0
"Atlanta-Sandy Springs-Roswell, GA","12060",2023,365,97,247,18,3,0,0,172,85,57,0,3,115,247,0
"Atlantic City-Hammonton, NJ","12100",2023,365,270,90,3,1,1,0,265,60,38,0,0,142,223,0
"Augusta-Richmond County, GA-SC","12260",2023,365,160,205,0,0,0,0,96,70,52,0,0,92,273,0
"Augusta-Waterville, ME","12300",2023,299,242,57,0,0,0,0,92,59,37,0,0,136,161,2
"Austin-Round Rock, TX","12420",2023,365,147,207,11,0,0,0,122,79,54,0,4,107,254,0
"Bakersfield, CA","12540",2023,365,85,210,58,12,0,0,174,122,69,0,1,217,135,12
"Baltimore-Columbia-Towson, MD","12580",2023,365,201,147,13,3,1,0,205,84,49,0,4,199,162,0
"Bangor, ME","12620",2023,358,294,64,0,0,0,0,89,55,35,0,0,161,193,4
"Baraboo, WI","12660",2023,362,218,123,16,4,1,0,271,77,44,0,0,124,237,1
"Barnstable Town, MA","12700",2023,358,331,24,3,0,0,0,140,49,37,0,0,336,22,0
